s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
562,638,593,598,566,571,472,535,769,1054,414,476,792,899,391,465,409,467,545,613,729,379,2156,586,1287,223,696,2
562,637,592,599,565,570,470,536,769,1055,413,474,792,899,390,465,409,467,546,612,727,379,2157,586,1286,223,696,2
562,637,593,600,564,572,470,535,771,1054,415,474,792,899,390,466,408,467,544,613,726,380,2159,585,1286,223,694,2
562,637,593,601,564,572,470,535,771,1055,416,475,792,899,390,464,409,467,545,613,727,378,2155,586,1285,223,696,2
562,636,593,600,564,570,471,536,769,1054,414,475,792,899,390,464,411,467,545,613,727,378,2156,585,1285,223,696,2
562,634,593,597,566,570,472,535,771,1054,415,476,792,899,390,463,409,467,545,613,727,379,2156,586,1286,223,696,2
562,634,593,597,564,571,470,535,771,1054,415,474,792,899,386,466,410,467,544,612,727,379,2157,590,1286,223,695,2
562,634,593,599,564,572,470,535,770,1053,415,476,792,900,387,464,410,467,545,612,727,379,2157,590,1286,223,695,2
562,634,594,599,566,572,472,536,772,1053,414,474,792,899,390,463,408,467,545,612,725,380,2156,590,1286,223,695,2
562,634,593,600,566,572,472,536,771,1053,414,475,792,899,387,464,409,467,546,612,725,379,2157,585,1286,222,696,2
562,634,593,597,564,570,471,535,769,1053,415,478,792,899,386,463,410,467,545,612,727,378,2156,584,1287,223,695,2
562,635,594,599,562,572,471,536,769,1056,416,475,792,899,391,465,410,467,545,612,726,379,2155,585,1287,223,696,2
562,635,593,600,564,571,469,535,770,1053,414,474,792,898,390,463,409,467,545,613,727,379,2155,591,1286,223,696,2
562,634,593,598,566,571,470,536,772,1054,415,474,792,899,390,466,410,467,544,612,727,379,2155,591,1285,223,696,2
562,635,594,599,563,570,473,536,771,1055,414,476,792,899,390,466,409,467,545,613,726,378,2157,585,1287,223,696,2
562,635,594,597,565,570,469,535,771,1054,415,474,792,899,391,466,410,467,545,612,727,378,2156,585,1285,223,695,2
562,635,593,600,565,570,471,535,770,1055,415,474,792,898,389,464,410,467,546,612,726,379,2156,590,1286,223,696,2
562,634,593,599,565,571,473,537,770,1054,415,476,792,899,391,465,411,467,545,612,726,378,2156,589,1286,223,695,2
562,638,593,600,564,572,471,534,771,1053,414,475,792,899,389,465,412,467,545,613,727,377,2156,591,1286,223,695,2
562,636,593,598,564,571,470,537,769,1056,415,476,792,899,387,464,413,467,545,613,727,379,2155,586,1285,223,695,2
562,637,594,602,564,571,470,535,772,1055,414,475,792,899,388,465,412,467,546,613,727,379,2156,586,1286,223,695,2
562,635,593,600,566,572,472,539,772,1054,415,475,792,899,389,465,413,466,544,612,727,379,2158,589,1286,222,695,2
562,635,593,600,564,571,470,535,771,1054,415,477,792,899,389,464,414,467,545,612,729,379,2158,589,1285,223,695,2
562,636,592,597,565,569,471,536,770,1054,415,475,792,899,389,466,410,467,544,613,728,379,2157,591,1285,223,695,2
562,635,594,597,564,571,472,534,769,1054,415,477,797,898,390,465,410,467,544,612,727,378,2157,586,1285,223,696,2
562,636,592,598,563,572,469,535,769,1054,415,475,792,898,390,463,410,467,545,613,725,379,2154,584,1285,223,694,2
562,636,593,602,565,573,469,536,770,1054,414,475,792,899,389,463,411,468,545,613,726,379,2156,584,1285,223,696,2
562,636,593,597,566,573,470,535,769,1053,415,477,792,899,391,465,411,467,544,613,723,379,2157,585,1286,223,696,2
562,635,593,598,565,573,473,539,771,1054,414,475,792,899,387,463,411,467,545,612,723,379,2157,585,1285,223,695,2
